,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,0.829480505,0.041436946,0.001478362,0.000454605,0.01,l2,newton-cg,"{'C': 0.01, 'penalty': 'l2', 'solver': 'newton-cg'}",0.696,0.724,0.704,0.744,0.628,0.7,0.716,0.772,0.668,0.74,0.7092,0.03865954,13
11,3.629163432,0.022293314,0.00142467,0.000444533,0.01,l2,saga,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.696,0.72,0.704,0.736,0.628,0.692,0.712,0.78,0.672,0.736,0.7076,0.038758741,15
9,1.0088588,0.05233232,0.00189476,0.000595668,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.696,0.724,0.704,0.732,0.628,0.692,0.72,0.776,0.66,0.728,0.706,0.038832976,16
15,3.723855948,0.108627516,0.001511145,0.000443127,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.676,0.712,0.688,0.692,0.612,0.68,0.712,0.728,0.664,0.7,0.6864,0.030734996,17
45,7.426673627,0.129375133,0.001607347,0.000378589,1,l1,saga,"{'C': 1.0, 'penalty': 'l1', 'solver': 'saga'}",0.684,0.704,0.684,0.7,0.62,0.676,0.716,0.724,0.656,0.7,0.6864,0.029021371,18
19,3.721448016,0.133448375,0.001491833,0.000470155,1,l2,saga,"{'C': 1.0, 'penalty': 'l2', 'solver': 'saga'}",0.672,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.664,0.7,0.6844,0.032320891,19
23,3.591264963,0.035845017,0.001411414,0.0004288,10,l2,saga,"{'C': 10.0, 'penalty': 'l2', 'solver': 'saga'}",0.668,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.668,0.7,0.6844,0.03227135,19
27,3.824578619,0.370726918,0.001171303,0.00026646,100,l2,saga,"{'C': 100.0, 'penalty': 'l2', 'solver': 'saga'}",0.668,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.668,0.7,0.6844,0.03227135,19
31,4.452317953,0.08016823,0.001626873,0.000438156,1000,l2,saga,"{'C': 1000.0, 'penalty': 'l2', 'solver': 'saga'}",0.668,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.668,0.7,0.6844,0.03227135,19
35,4.489758301,0.060695321,0.001457191,0.000468935,10000,l2,saga,"{'C': 10000.0, 'penalty': 'l2', 'solver': 'saga'}",0.668,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.668,0.7,0.6844,0.03227135,19
49,8.256249833,0.423366729,0.001528764,0.000478788,100,l1,saga,"{'C': 100.0, 'penalty': 'l1', 'solver': 'saga'}",0.668,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.668,0.7,0.6844,0.03227135,19
51,7.835630512,0.155481764,0.001687384,0.000479394,1000,l1,saga,"{'C': 1000.0, 'penalty': 'l1', 'solver': 'saga'}",0.668,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.668,0.7,0.6844,0.03227135,19
53,7.971903276,0.349508673,0.001756215,0.00046875,10000,l1,saga,"{'C': 10000.0, 'penalty': 'l1', 'solver': 'saga'}",0.668,0.712,0.684,0.692,0.604,0.68,0.712,0.724,0.668,0.7,0.6844,0.03227135,19
47,7.861099195,0.197392449,0.00150919,0.00049828,10,l1,saga,"{'C': 10.0, 'penalty': 'l1', 'solver': 'saga'}",0.672,0.712,0.68,0.688,0.596,0.68,0.712,0.724,0.664,0.7,0.6828,0.034271854,27
13,1.577437568,0.035439805,0.001774955,0.000323487,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.668,0.716,0.664,0.676,0.6,0.676,0.704,0.7,0.668,0.672,0.6744,0.029997333,28
14,1.150584769,0.041970019,0.001748133,0.000408767,0.1,l2,newton-cg,"{'C': 0.1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.668,0.72,0.66,0.676,0.604,0.68,0.704,0.7,0.66,0.672,0.6744,0.03010382,28
